zipcode,count
10001,9
10002,36
10003,7
10004,2
10007,2
10009,34
10010,9
10011,9
10012,19
10013,13
10014,16
10016,13
10018,9
10019,10
10021,4
10022,14
10023,35
10024,39
10025,72
10026,29
10027,49
10028,13
10029,27
10030,41
10031,47
10032,30
10033,25
10034,20
10035,22
10036,6
10037,12
10038,2
10039,10
10040,11
10065,5
10069,1
10075,21
10128,15
10280,2
10282,2
10301,14
10302,5
10303,6
10304,10
10305,10
10306,9
10307,1
10308,1
10309,3
10310,7
10312,10
10314,14
10451,21
10452,41
10453,83
10454,11
10455,23
10456,64
10457,33
10458,55
10459,31
10460,32
10461,20
10462,26
10463,31
10465,6
10466,17
10467,48
10468,33
10469,15
10470,6
10471,1
10472,39
10473,13
10474,9
10475,1
11001,1
11004,1
11101,22
11102,2
11103,8
11104,9
11105,3
11106,16
11201,21
11203,19
11204,6
11205,42
11206,38
11207,36
11208,23
11209,17
11210,11
11211,42
11212,18
11213,43
11214,7
11215,51
11216,52
11217,28
11218,13
11219,16
11220,32
11221,62
11222,25
11223,14
11224,6
11225,43
11226,67
11228,2
11229,2
11230,7
11231,12
11232,5
11233,42
11234,20
11235,30
11236,14
11237,62
11238,71
11249,18
11354,13
11355,6
11356,2
11357,7
11358,6
11360,2
11361,3
11364,1
11365,1
11367,3
11368,31
11369,3
11370,4
11372,16
11373,9
11374,8
11375,5
11377,36
11378,7
11379,6
11385,63
11411,2
11412,13
11413,3
11414,3
11415,1
11416,3
11417,9
11418,8
11419,18
11420,9
11421,6
11422,1
11423,5
11428,2
11429,2
11432,12
11433,11
11434,11
11435,8
11436,12
11691,6
11692,1
11693,2
11694,11
